Unicode,Python Code,Occurrences,Position,Neg,Neut,Pos,Sentiment score,Unicode name,Unicode block,
0x2764,U2764,8050,0.747,0.044,0.166,0.79,0.746,HEAVY BLACK HEART,Dingbats,6
0x2665,U2665,7144,0.754,0.035,0.272,0.693,0.657,BLACK HEART SUIT,Miscellaneous Symbols,6
0x263a,U263a,2062,0.799,0.062,0.218,0.72,0.657,WHITE SMILING FACE,Miscellaneous Symbols,6
0x2661,U2661,1975,0.764,0.052,0.227,0.721,0.669,WHITE HEART SUIT,Miscellaneous Symbols,6
0x270c,U270c,1534,0.79,0.113,0.31,0.576,0.463,VICTORY HAND,Dingbats,6
0x262f,U262f,992,0.384,0.006,0.987,0.007,0.001,YIN YANG,Miscellaneous Symbols,6
0x2728,U2728,848,0.56,0.052,0.545,0.403,0.351,SPARKLES,Dingbats,6
0x2605,U2605,828,0.353,0.031,0.655,0.314,0.283,BLACK STAR,Miscellaneous Symbols,6
0x2588,U2588,798,0.634,0.09,0.853,0.057,-0.032,FULL BLOCK,Block Elements,6
0x2600,U2600,786,0.546,0.028,0.479,0.493,0.465,BLACK SUN WITH RAYS,Miscellaneous Symbols,6
0x266b,U266b,533,0.397,0.063,0.586,0.351,0.287,BEAMED EIGHTH NOTES,Miscellaneous Symbols,6
0xfffd,Ufffd,472,0.113,0.166,0.581,0.253,0.086,REPLACEMENT CHARACTER,Specials,6
0x2615,U2615,382,0.685,0.14,0.475,0.384,0.244,HOT BEVERAGE,Miscellaneous Symbols,6
0x270b,U270b,378,0.838,0.328,0.218,0.454,0.126,RAISED HAND,Dingbats,6
0x2744,U2744,349,0.76,0.099,0.295,0.605,0.506,SNOWFLAKE,Dingbats,6
0x25ba,U25ba,325,0.516,0.125,0.588,0.287,0.162,BLACK RIGHT-POINTING POINTER,Geometric Shapes,6
0x2708,U2708,322,0.522,0.043,0.498,0.458,0.415,AIRPLANE,Dingbats,6
0x26bd,U26bd,299,0.193,0.053,0.278,0.669,0.616,SOCCER BALL,Miscellaneous Symbols,6
0x2606,U2606,282,0.563,0.032,0.509,0.46,0.428,WHITE STAR,Miscellaneous Symbols,6
0x270a,U270a,270,0.859,0.139,0.293,0.568,0.429,RAISED FIST,Dingbats,6
0x2714,U2714,249,0.565,0.127,0.476,0.397,0.27,HEAVY CHECK MARK,Dingbats,6
0x26a1,U26a1,246,0.779,0.044,0.735,0.221,0.177,HIGH VOLTAGE SIGN,Miscellaneous Symbols,6
0x27a1,U27a1,222,0.478,0.013,0.827,0.16,0.147,BLACK RIGHTWARDS ARROW,Dingbats,6
0x2757,U2757,198,0.62,0.159,0.582,0.259,0.1,HEAVY EXCLAMATION MARK SYMBOL,Dingbats,6
0x2716,U2716,193,0.515,0.046,0.597,0.357,0.311,HEAVY MULTIPLICATION X,Dingbats,6
0x261d,U261d,191,0.76,0.144,0.402,0.454,0.309,WHITE UP POINTING INDEX,Miscellaneous Symbols,6
0x26c4,U26c4,191,0.739,0.077,0.325,0.598,0.521,SNOWMAN WITHOUT SNOW,Miscellaneous Symbols,6
0x266a,U266a,190,0.696,0.083,0.301,0.617,0.534,EIGHTH NOTE,Miscellaneous Symbols,6
0x279c,U279c,170,0.559,0.052,0.734,0.214,0.162,HEAVY ROUND-TIPPED RIGHTWARDS ARROW,Dingbats,6
0x2b50,U2b50,159,0.601,0.037,0.346,0.617,0.58,WHITE MEDIUM STAR,Miscellaneous Symbols and Arrows,6
0x25aa,U25aa,159,0.145,0.099,0.605,0.296,0.198,BLACK SMALL SQUARE,Geometric Shapes,6
0x2501,U2501,156,0.54,0.094,0.635,0.27,0.176,BOX DRAWINGS HEAVY HORIZONTAL,Box Drawing,6
0x2637,U2637,154,0.012,0.019,0.898,0.083,0.064,TRIGRAM FOR EARTH,Miscellaneous Symbols,6
0x2611,U2611,135,0.69,0.022,0.855,0.123,0.101,BALLOT BOX WITH CHECK,Miscellaneous Symbols,6
0x2502,U2502,134,0.483,0.007,0.642,0.35,0.343,BOX DRAWINGS LIGHT VERTICAL,Box Drawing,6
0x25b6,U25b6,131,0.498,0.06,0.672,0.269,0.209,BLACK RIGHT-POINTING TRIANGLE,Geometric Shapes,6
0x2614,U2614,111,0.687,0.193,0.325,0.482,0.289,UMBRELLA WITH RAIN DROPS,Miscellaneous Symbols,6
0x2591,U2591,108,0.439,0.234,0.577,0.189,-0.045,LIGHT SHADE,Block Elements,6
0x2601,U2601,104,0.596,0.14,0.411,0.449,0.308,CLOUD,Miscellaneous Symbols,6
0x21bf,U21bf,102,0.711,0.01,0.333,0.657,0.648,UPWARDS HARPOON WITH BARB LEFTWARDS,Arrows,6
0x21be,U21be,96,0.707,0.01,0.333,0.657,0.646,UPWARDS HARPOON WITH BARB RIGHTWARDS,Arrows,6
0x2593,U2593,90,0.658,0.032,0.925,0.043,0.011,DARK SHADE,Block Elements,6
0x26a0,U26a0,88,0.489,0.187,0.692,0.121,-0.066,WARNING SIGN,Miscellaneous Symbols,6
0x256f,U256f,84,0.507,0.23,0.552,0.218,-0.011,BOX DRAWINGS LIGHT ARC UP AND LEFT,Box Drawing,6
0x2713,U2713,84,0.628,0.115,0.483,0.402,0.287,CHECK MARK,Dingbats,6
0x25ac,U25ac,81,0.335,0.012,0.512,0.476,0.464,BLACK RECTANGLE,Geometric Shapes,6
0xfffc,Ufffc,81,0.309,0.536,0.405,0.06,-0.476,OBJECT REPLACEMENT CHARACTER,Specials,6
0x2551,U2551,73,0.568,0.013,0.829,0.158,0.145,BOX DRAWINGS DOUBLE VERTICAL,Box Drawing,6
0x273f,U273f,70,0.499,0.041,0.534,0.425,0.384,BLACK FLORETTE,Dingbats,6
0x250a,U250a,68,0.682,0.014,0.014,0.972,0.958,BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL,Box Drawing,6
0x26d4,U26d4,65,0.406,0.088,0.338,0.574,0.485,NO ENTRY,Miscellaneous Symbols,6
0x25cf,U25cf,65,0.561,0.132,0.559,0.309,0.176,BLACK CIRCLE,Geometric Shapes,6
0x2550,U2550,62,0.441,0.015,0.954,0.031,0.015,BOX DRAWINGS DOUBLE HORIZONTAL,Box Drawing,6
